型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
H625×200,625,198.5,13.5,17.5,13,150.6,118,1.99,88500,2300,24.2,3.90,2830,231,
H625×200,630,200,15,20,13,170.0,133,2.01,101000,2690,24.4,3.97,3220,268,是
H625×200,638,202,17,24,13,198.7,156,2.03,122000,3320,24.8,4.09,3820,329,
H625×200,646,203,18,28,13,221.3,174,2.05,141000,3930,25.2,4.22,4350,388,
H650×250,646,249,11,20,13,167.7,132,2.24,119000,5150,26.7,5.54,3690,414,
H650×250,650,250,12,22,13,184.2,145,2.25,132000,5740,26.8,5.58,4060,459,是
H650×250,654,251,13,24,13,200.7,158,2.26,145000,6340,26.9,5.62,4430,505,
H650×300,646,299,12,18,18,183.6,144,2.43,131000,8030,26.7,6.61,4080,537,
H650×300,650,300,13,20,18,202.1,159,2.44,146000,9010,26.9,6.67,4500,601,是
H650×300,654,301,14,22,18,220.6,173,2.45,161000,10000,27.4,6.81,4930,666,
H650×350,654,353,16,22,18,255.7,201,2.66,188000,16200,27.1,7.95,5750,915,是
H650×350,660,355,18,25,18,290.1,228,2.67,216000,18700,27.3,8.02,6530,1050,
H650×350,666,357,20,28,18,324.7,255,2.69,244000,21300,27.4,8.10,7320,1190,
H650×400,644,398,13,17,22,218.8,172,2.82,161000,17900,27.2,9.04,5010,898,
H650×400,650,400,15,20,22,255.7,201,2.83,191000,21400,27.3,9.14,5870,1070,是
H650×400,674,402,17,32,22,365.1,287,2.88,301000,34700,28.7,9.75,8940,1730,
H650×450,660,468,18,25,22,348.0,273,3.12,274000,42700,28.1,11.1,8300,1830,是
H650×450,680,470,20,35,22,455.2,357,3.16,384000,60600,29.0,11.5,11300,2580,
H650×450,690,476,26,40,22,543.6,427,3.19,456000,72000,29.0,11.5,13200,3030,
H700×250,700,250,12,22,18,191.5,150,2.35,158000,5740,28.7,5.48,4500,459,是
H700×250,704,251,13,24,18,208.5,164,2.36,173000,6340,28.8,5.51,4910,505,
H700×300,692,300,13,20,18,207.5,163,2.53,168000,9020,28.5,6.59,4870,601,
H700×300,700,300,13,24,18,231.5,182,2.54,197000,10800,29.2,6.83,5640,721,是
H700×300,716,304,17,32,18,308.2,242,2.58,270000,15000,29.6,6.98,7540,988,
H700×350,700,350,13,20,18,228.6,179,2.74,196000,14300,29.3,7.91,5600,818,是
H700×350,710,353,16,25,18,284.9,224,2.77,248000,18400,29.5,8.03,7000,1040,
H700×350,720,355,18,30,18,334.6,263,2.79,300000,22400,29.9,8.18,8330,1260,
H700×400,700,401,17,25,18,313.8,246,2.94,270000,26900,29.3,9.26,7720,1340,是
H700×400,710,402,18,30,18,361.0,283,2.96,323000,32500,29.9,9.49,9100,1620,
H700×400,720,406,22,35,18,430.0,338,2.99,387000,39100,30.0,9.54,10700,1930,
H700×450,698,464,14,19,18,271.5,213,3.19,240000,31700,29.7,10.8,6870,1360,是
H700×450,740,476,26,40,18,555.2,436,3.30,532000,72000,31.0,11.4,14400,3030,
H700×450,756,480,30,48,18,661.6,519,3.34,653000,88600,31.4,11.6,17300,3690,
H750×250,746,249,13,23,18,208.3,164,2.43,190000,5930,30.2,5.34,5100,477,
H750×250,750,250,14,25,18,225.8,177,2.44,208000,6530,30.3,5.38,5540,522,是
H750×250,754,251,15,27,18,243.3,191,2.45,225000,7140,30.4,5.42,5980,569,
H750×300,734,299,12,16,18,182.7,143,2.61,161000,7140,29.7,6.25,4390,478,
H750×300,742,300,13,20,18,214.0,168,2.63,197000,9020,30.4,6.49,5320,601,
H750×300,750,300,13,24,18,238.0,187,2.64,231000,10800,31.1,6.74,6150,721,是
H750×300,758,303,16,28,18,284.8,224,2.67,276000,13000,31.1,6.75,7270,859,
H750×300,798,317,30,48,18,517.7,406,2.77,518000,25700,31.6,7.04,13000,1620,
H750×350,742,354,18,20,18,270.7,212,2.83,240000,14800,29.8,7.40,6460,838,
H750×350,752,356,20,25,18,321.2,252,2.86,296000,18900,30.4,7.66,7880,1060,是
H750×350,762,358,22,30,18,372.0,292,2.88,355000,23000,30.9,7.86,9310,1290,
H750×400,750,402,18,25,18,329.8,259,3.04,319000,27100,31.1,9.07,8510,1350,是
H750×400,760,402,18,30,18,370.0,290,3.06,376000,32500,31.9,9.38,9900,1620,
H750×400,770,406,22,35,18,441.0,346,3.09,450000,39100,32.0,9.42,11700,1930,
H750×450,799,446,26,40,18,546.5,429,3.30,598000,59300,33.1,10.4,15000,2660,是
H750×450,831,454,34,56,18,755.7,593,3.38,874000,87600,34.0,10.8,21000,3860,
H800×300,792,300,14,22,18,239.5,188,2.73,248000,9920,32.2,6.43,6270,661,
H800×300,800,300,14,26,18,263.5,207,2.74,286000,11700,33.0,6.66,7160,781,是
H800×300,820,306,20,36,18,372.7,293,2.79,412000,17200,33.3,6.80,10100,1130,
H800×350,796,349,14,22,18,261.6,205,2.93,284000,15600,32.9,7.72,7120,894,
H800×350,800,350,15,24,18,283.6,223,2.94,310000,17200,33.1,7.78,7750,981,是
H800×350,808,355,20,28,18,352.0,276,2.97,377000,20900,32.7,7.71,9340,1180,
H800×400,804,400,16,28,18,346.5,272,3.15,397000,29900,33.8,9.29,9870,1490,是
H800×400,814,404,20,33,18,419.0,329,3.17,480000,36300,33.9,9.31,11800,1800,
H800×400,824,409,25,38,18,500.6,393,3.20,571000,43400,33.8,9.31,13900,2120,
H850×300,834,298,14,19,18,227.5,179,2.80,251000,8400,33.2,6.07,6020,564,
H850×300,842,299,15,23,18,259.7,204,2.82,298000,10300,33.9,6.28,7080,687,
H850×300,850,300,16,27,18,292.1,229,2.84,346000,12200,34.4,6.45,8140,812,是
H850×300,858,301,17,31,18,324.7,255,2.86,395000,14100,34.9,6.59,9210,939,
H850×350,847,322,14,25,18,275.4,216,2.92,335000,13900,34.9,7.11,7920,865,是
H850×350,893,338,30,48,18,566.4,445,3.05,711000,31100,35.4,7.41,15900,1840,
H850×350,925,346,38,64,18,748.5,588,3.13,987000,44600,36.3,7.72,21300,2580,
H850×400,847,404,22,25,18,380.1,298,3.24,438000,27600,34.0,8.51,10400,1360,是
H850×400,857,407,25,30,18,446.2,350,3.26,528000,33800,34.4,8.71,12300,1660,
H850×400,867,412,30,35,18,530.3,416,3.29,630000,41000,34.5,8.79,14500,1990,
H850×450,869,441,21,36,18,487.7,383,3.43,644000,51500,36.3,10.3,14800,2340,是
H850×450,893,450,30,48,18,673.9,529,3.50,903000,73100,36.6,10.4,20200,3250,
H850×450,935,459,39,69,18,947.0,743,3.60,1360000,112000,37.9,10.9,29100,4860,
H900×300,890,299,15,23,18,266.9,210,2.92,339000,10300,35.6,6.20,7610,687,
H900×300,900,300,16,28,18,305.8,240,2.94,404000,12600,36.4,6.42,8990,842,是
H900×300,912,302,18,34,18,360.1,283,2.97,491000,15700,36.9,6.59,10800,1040,
H900×350,890,349,15,23,18,289.9,228,3.12,382000,16300,36.3,7.50,8580,935,
H900×350,900,350,16,28,18,333.8,262,3.14,458000,20000,37.0,7.75,10200,1150,是
H900×350,936,359,25,46,18,544.1,427,3.23,785000,35600,38.0,8.09,16800,1980,
H900×400,868,395,14,19,22,270.5,212,3.25,344000,19500,35.7,8.50,7930,989,
H900×400,900,400,19,35,22,441.9,347,3.32,622000,37400,37.5,9.20,13800,1870,是
H900×400,922,410,25,46,22,588.9,462,3.40,850000,53000,38.0,9.48,18400,2580,
H900×460,872,460,15,21,22,321.9,253,3.52,428000,34100,36.5,10.3,9820,1480,
H900×460,900,465,20,35,22,495.7,389,3.58,711000,58700,37.9,10.9,15800,2530,是
H900×460,922,470,25,46,22,644.1,506,3.64,956000,79700,38.5,11.1,20700,3390,
H1000×300,970,297,16,21,18,276.0,217,3.07,393000,9210,37.8,5.77,8110,620,
H1000×300,980,298,17,26,18,315.5,248,3.09,472000,11500,38.7,6.04,9630,772,
H1000×300,990,298,17,31,18,345.3,271,3.11,544000,13700,39.7,6.30,11000,921,
H1000×300,1000,300,19,36,18,395.1,310,3.13,634000,16300,40.1,6.41,12700,1080,是
H1000×300,1008,302,21,40,18,439.3,345,3.15,712000,18400,40.3,6.47,14100,1220,
