型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
HK400×400,465,420,44.6,72.5,15,753.7,592,2.50,250000,89800,18.2,10.9,10700,4270,
HK400×400,475,423,47,77.5,15,808.0,634,2.52,276000,98100,18.5,11.0,11600,4640,
HK400×400,483,426,52,81.5,15,862.7,677,2.54,298000,105000,18.6,11.1,12400,4950,
HK400×400,498,431,56,89,15,948.3,744,2.58,342000,119000,19.0,11.2,13700,5530,
HK400×400,514,437,60,97,15,1042,818,2.63,392000,136000,19.4,11.4,15300,6200,
HK400×400,532,442,65,106,15,1147,900,2.68,452000,153000,19.9,11.6,17000,6940,
HK400×400,550,448,71.6,115,15,1261,990,2.72,519000,173000,20.3,11.7,18900,7740,
HK400×400,570,454,77.3,125,15,1384,1086,2.78,598000,196000,20.8,11.9,21000,8640,
HK400×400,580,471,95,130,15,1531,1202,2.83,664000,229000,20.8,12.2,22900,9710,
HK400×400,600,476,100,140,15,1655,1299,2.88,755000,254000,21.4,12.4,25200,10700,
HK450×200,446,189.5,7.5,13,21,84.55,66.4,1.60,29300,1480,18.6,4.18,1320,156,
HK450×200,450,190,9.4,14.6,21,98.82,77.6,1.61,33700,1680,18.5,4.12,1500,176,
HK450×200,453.4,189.9,8.5,12.7,10.2,85.51,67.1,1.63,29400,1450,18.5,4.12,1300,153,
HK450×200,457,190,9,14.5,10,94.48,74.2,1.64,33200,1660,18.8,4.19,1460,175,
HK450×200,460,191,9.9,16,10,104.4,81.9,1.65,37000,1860,18.8,4.22,1610,195,
HK450×200,460,191.3,9.9,16,10.2,104.5,82.0,1.65,37100,1870,18.8,4.23,1610,196,
HK450×200,463,192,10.5,17.7,10,113.7,89.3,1.66,40900,2090,19.0,4.29,1770,218,
HK450×200,466,193,11.4,19,10,123.0,96.5,1.66,44500,2280,19.0,4.31,1910,237,
HK450×200,469,194,12.6,20.6,10,134.7,106,1.67,48800,2510,19.0,4.32,2080,259,
HK450×300,438,316,26,40,13,347.3,273,2.07,111000,21100,17.9,7.79,5060,1330,
HK450×300,440,300,11.5,21,27,178.0,140,2.01,63700,9470,18.9,7.29,2900,631,
HK450×300,450,300,14,26,27,218.0,171,2.03,79900,11700,19.1,7.33,3550,781,
HK450×300,463,280,10.8,17.3,10,144.0,113,2.01,55600,6330,19.6,6.63,2400,452,
HK450×300,467,282,12.2,19.6,10,163.6,128,2.02,63700,7330,19.7,6.70,2730,520,
HK450×300,472,283,13.6,22.1,10,184.1,145,2.03,72600,8360,19.9,6.74,3080,591,
HK450×300,476,284,15,23.9,10,200.8,158,2.04,79600,9140,19.9,6.75,3350,643,
HK450×300,478,307,21,40,27,335.4,263,2.10,131000,19300,19.8,7.59,5500,1260,
HK450×450,445,451,19.1,19.1,29,257.2,202,2.61,91700,29200,18.9,10.7,4120,1300,
HK450×450,447,450,20,20,22,265.6,208,2.62,95000,30400,18.9,10.7,4250,1350,
HK450×450,457,450,20,25,22,310.6,244,2.64,118000,38000,19.5,11.1,5160,1690,
HK450×450,457,457,25.4,25.4,30,343.1,269,2.64,125000,40500,19.1,10.9,5490,1770,
HK450×450,464,460,28.6,28.6,30,387.2,304,2.66,144000,46500,19.3,11.0,6200,2020,
HK450×450,467,450,20,30,22,355.6,279,2.66,142000,45600,20.0,11.3,6080,2030,
HK450×450,477,450,20,35,22,400.6,314,2.68,167000,53200,20.4,11.5,7000,2360,
HK450×450,487,450,20,40,22,445.6,350,2.70,193000,60800,20.8,11.7,7930,2700,
HK450×450,487,460,30,40,22,494.3,388,2.72,203000,65000,20.3,11.5,8330,2830,
HK450×450,497,452,22,45,22,500.5,393,2.72,222000,69300,21.1,11.8,8950,3070,
HK500×150,525,165,8.9,11.4,13,83.77,65.8,1.67,35100,857,20.5,3.20,1340,104,
HK500×150,529,166,9.7,13.6,13,95.28,74.8,1.68,41100,1040,20.8,3.31,1550,125,
HK500×150,535,166,10.3,16.5,13,107.9,84.7,1.69,48600,1260,21.2,3.42,1820,152,
HK500×200,500,200,10.2,16,21,115.5,90.7,1.74,48200,2140,20.4,4.31,1930,214,
HK500×200,524,207,9,10.9,13,91.77,72.0,1.84,40100,1620,20.9,4.20,1530,156,
HK500×200,528,209,9.5,13.3,13,104.7,82.2,1.85,47700,2030,21.3,4.40,1810,194,
HK500×200,533,209,10.2,15.6,13,117.8,92.5,1.86,55300,2380,21.7,4.49,2070,228,
HK500×200,536.7,210,10.8,17.4,12.7,128.7,101,1.87,61500,2690,21.9,4.57,2290,256,
HK500×200,539.5,210.8,11.6,18.8,12.7,138.9,109,1.88,66800,2940,21.9,4.60,2480,279,
HK500×200,544.5,211.9,12.7,21.3,12.7,155.4,122,1.89,76000,3390,22.1,4.67,2790,320,
HK500×300,482,286,16.6,26.9,10,225.8,177,2.06,91000,10500,20.1,6.82,3780,735,
HK500×300,489,283,17,30.5,10,246.2,193,2.06,102000,11500,20.4,6.85,4190,816,
HK500×300,490,300,12,23,27,197.5,155,2.11,87000,10400,21.0,7.24,3550,691,
HK500×300,495,285,18.5,33.5,10,271.0,213,2.08,114000,12900,20.5,6.91,4620,909,
HK500×300,500,300,14.5,28,27,238.6,187,2.12,107000,12600,21.2,7.27,4290,842,
HK500×300,501,287,20.6,36.6,10,299.1,235,2.09,127000,14500,20.6,6.95,5080,1010,
HK500×300,508,292,26,40,13,346.3,272,2.11,146000,16700,20.5,6.94,5740,1140,
HK500×300,509,289,22.6,40.4,10,331.1,260,2.11,144000,16300,20.8,7.01,5650,1130,
HK500×300,517,291,24.4,44.4,10,363.7,286,2.13,161000,18300,21.0,7.09,6230,1260,
HK500×300,524,306,21,40,27,344.3,270,2.18,162000,19200,21.7,7.46,6180,1250,
HK500×300,525,293,26.9,48.5,10,400.2,314,2.15,180000,20400,21.2,7.14,6850,1390,
HK500×350,522,350,16,35,18,320.1,251,2.38,159000,25000,22.3,8.84,6100,1430,
HK500×400,500,431.5,55.5,90,13,955.8,750,2.59,347000,121000,19.1,11.3,13900,5610,
HK500×500,516,500,20,32,18,413.2,324,2.96,204000,66700,22.2,12.7,7920,2670,
HK550×200,537,210,10.9,17.4,13,129.3,101,1.87,61700,2690,21.9,4.56,2300,256,
HK550×200,539,211,11.6,18.8,13,138.9,109,1.88,66800,2950,21.9,4.61,2480,280,
HK550×200,544,212,13.1,21.2,13,157.0,123,1.89,76100,3380,22.0,4.64,2800,319,
HK550×200,549,214,14.7,23.6,13,176.2,138,1.90,86100,3870,22.1,4.69,3140,362,
HK550×200,550,210,11.1,17.2,24,134.4,106,1.88,67100,2670,22.3,4.45,2440,254,
HK550×200,565.5,217,17,25,24,201.1,158,1.92,102000,4290,22.5,4.62,3600,395,
HK550×300,540,300,12.5,24,27,211.8,166,2.21,112000,10800,23.0,7.15,4150,721,
HK550×300,540,300,34,56,13,483.0,379,2.19,221000,25300,21.4,7.24,8170,1690,
HK550×300,543,312,12.7,20.3,13,191.9,151,2.29,101000,10300,22.9,7.32,3720,659,
HK550×300,546,313,14,22.2,13,210.6,165,2.29,111000,11400,23.0,7.34,4070,726,
HK550×300,550,300,15,29,27,254.1,199,2.22,137000,13100,23.2,7.17,4970,872,
HK550×300,551,315,15.2,24.4,13,231.5,182,2.31,124000,12700,23.1,7.41,4490,808,
